tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
NEA000ETT15000070,National Environment Agency,Tender for the Refractory Repair And Relining Works At Tuas Incineration Plant,2015-08-31,Awarded to Suppliers,Echelon Engineering Pte. Ltd.,0
NEA000ETT15000071,National Environment Agency,CONSULTANCY STUDY ON ASSESSMENT OF SECONDARY IMPACTS OF THE USE OF WOLBACHIA TECHNOLOGY TO SUPPRESS AEDES AEGYPTI POPULATION,2015-09-21,Awarded to Suppliers,IPSOS PTE. LTD.,220000
NEA000ETT15000072,National Environment Agency,"The Provision of Transport Services for Tuas South Incineration Plant, Tuas Marine Transfer Station and Tuas Incineration Plant",2015-09-09,Awarded to Suppliers,TONG TAR TRANSPORT SERVICE PTE LTD,481920
NEA000ETT15000074,National Environment Agency,PROVISION OF RODENT SURVEILLANCE SERVICES FOR PUBLIC AREAS IN SINGAPORE,2015-08-28,Awarded to Suppliers,STAR PEST CONTROL PTE LTD,6291000
NEA000ETT15000075,National Environment Agency,"SECURITY SERVICES AT SEMAKAU LANDFILL, TUAS MARINE TRANSFER STATION, TUAS SOUTH INCINERATION PLANT & TUAS INCINERATION PLANT",2015-10-23,Awarded to Suppliers,New-E Security Pte Ltd,1791600
NEA000ETT15000077,National Environment Agency,Relining of Refuse Discharge Chutes and Resurfacing of Epoxy Flooring at Tuas South Incineration Plant,2015-10-14,Awarded to Suppliers,CASUARINA SERVICES PTE. LTD.,99000
NEA000ETT15000078,National Environment Agency,"1. LANDSCAPING AND HORTICULTURAL WORKS AT CHOA CHU KANG CEMETERIES, CHOA CHU KANG COLUMBARIUM AND CHOA CHU KANG CREMATORIUM; 2. GRASS CUTTING AND TREE MAINTENANCE AT SELECTED CEMETERIES AND OTHER INSTALLATIONS",2015-09-02,Awarded to Suppliers,KIM BOCK CONTRACTOR PRIVATE LIMITED,1941600
NEA000ETT15000079,National Environment Agency,PROVISION OF ARREARS MANAGEMENT SERVICES FOR HAWKER STALLS,2015-10-30,Awarded to Suppliers,Credit Management Consultancy (asia) Pte Ltd,0
NEA000ETT15000082,National Environment Agency,The Provision of Area Cleaning Works at Tuas and Tuas South Incineration Plants,2015-09-25,Awarded to Suppliers,MULTITASK DEVELOPMENT PTE. LTD.,1561208
NEA000ETT15000083,National Environment Agency,Supply and delivery of vehicles,2015-09-14,Awarded to Suppliers,AGRICULTURAL TRACTORS SPARES PTE LTD,100800
NEA000ETT15000083,National Environment Agency,Supply and delivery of vehicles,2015-09-14,Awarded to Suppliers,WEARNES ENGINEERING & DISTRIBUTION PTE. LTD.,100800
NEA000ETT15000084,National Environment Agency,PROVISION OF REPAIRS AND REFURBISHMENT (R & R) WORKS,2015-11-17,Awarded to Suppliers,ISO-TEAM CORPORATION PTE LTD,4490351
NEA000ETT15000084,National Environment Agency,PROVISION OF REPAIRS AND REFURBISHMENT (R & R) WORKS,2015-11-17,Awarded to Suppliers,TAY HAO PAINT WORKS PTE LTD,4490351
NEA000ETT15000086,National Environment Agency,TENDER FOR PROVISION OF PUBLICITY AND ENGAGEMENT INITIATIVES FOR KEEP SINGAPORE CLEAN CAMPAIGN,2015-11-03,Awarded to Suppliers,ATOMZ I! PTE. LTD.,936920
NEA000ETT15000087,National Environment Agency,TENDER FOR APPOINTMENT OF EXTERNAL AUDITOR FOR PROCESS AUDIT,2015-09-23,Awarded to No Suppliers,na,0
NEA000ETT15000088,National Environment Agency,Repairs and Redecoration Works at Tuas Marine Transfer Station,2015-12-08,Awarded to Suppliers,TSL Builders Pte Ltd,144400
NEA000ETT15000089,National Environment Agency,Maintenance of Wharf Fenders at both Tuas Marine Transfer Station and Semakau Landfill,2015-12-21,Awarded to Suppliers,YAMATO TECHNOLOGIES PTE. LTD.,468000
NEA000ETT15000090,National Environment Agency,MAINTENANCE OF WATER QUALITY MONITORING SYSTEM,2015-10-19,Awarded to Suppliers,WINSYS TECHNOLOGY PTE LTD,929200
NEA000ETT15000091,National Environment Agency,TENDER FOR THE SUPPLY AND DELIVERY OF SPARE PARTS FOR LANDFILL EQUIPMENT,2015-11-04,Awarded to Suppliers,TATEOT 28 PROJECT & TRADING PTE LTD,192209
NEA000ETT15000091,National Environment Agency,TENDER FOR THE SUPPLY AND DELIVERY OF SPARE PARTS FOR LANDFILL EQUIPMENT,2015-11-04,Awarded to Suppliers,UMW EQUIPMENT & ENGINEERING PTE LTD,192209
NEA000ETT15000091,National Environment Agency,TENDER FOR THE SUPPLY AND DELIVERY OF SPARE PARTS FOR LANDFILL EQUIPMENT,2015-11-04,Awarded to Suppliers,Volvo East Asia (Pte) Ltd,192209
NEA000ETT15000092,National Environment Agency,"Supply, Delivery, Installation and Commissioning of Air Monitoring Equipment",2015-12-09,Awarded to Suppliers,ANSAC TECHNOLOGY (S) PTE LTD,372707
NEA000ETT15000092,National Environment Agency,"Supply, Delivery, Installation and Commissioning of Air Monitoring Equipment",2015-12-09,Awarded to Suppliers,Conexor Singapore Pte Ltd,372707
NEA000ETT15000092,National Environment Agency,"Supply, Delivery, Installation and Commissioning of Air Monitoring Equipment",2015-12-09,Awarded to Suppliers,FYH INTEGRATED PTE. LTD.,372707
NEA000ETT15000093,National Environment Agency,"TENDER FOR MULTI-DISCIPLINARY CONSULTANCY SERVICES (ARCHITECTURAL, CIVIL & STRUCTURAL ENGINEERING, MECHANICAL & ELECTRICAL ENGINEERING AND QUANTITY SURVEYING) FOR RENOVATION WORKS TO EXISTING MARKETS/FOOD CENTRES AT BLK 347 JURONG EAST AVENUE 1 AND BLK 453A ANG MO KIO AVENUE 10",2015-10-09,Awarded to Suppliers,BHATCH ARCHITECTS,0
NEA000ETT15000094,National Environment Agency,"Refurbishment of refuse, ash and scrap cranes at Tuas Incineration Plant & Tuas South Incineration Plant",2015-11-02,Awarded to Suppliers,YAMATO TECHNOLOGIES PTE. LTD.,0
NEA000ETT15000095,National Environment Agency,MULTI-DISCPLINARY CONSULTANCY SERVICES FOR THE PROPOSED ROAD ACCESS DEVELOPMENT AT TUAS VIEW BASIN,2015-10-07,Awarded to Suppliers,AECOM SINGAPORE PTE. LTD.,3218000
NEA000ETT15000096,National Environment Agency,"THE DESIGN, SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING AND COMPREHENSIVE MAINTENANCE OF A SATELLITE DATA RECEPTION AND PROCESSING SYSTEM.",2015-10-27,Awarded to Suppliers,ESS WEATHERTECH PTY LTD,954634.66
NEA000ETT15000097,National Environment Agency,Refurbishment of air compressor system at Tuas Incineration Plant,2015-10-27,Awarded to Suppliers,INGERSOLL-RAND SOUTH EAST ASIA (PRIVATE) LIMITED,658278
NEA000ETT15000098,National Environment Agency,Collection and Transportation of Food Waste for Co-digestion,2015-12-11,Awarded to Suppliers,VEOLIA ES SINGAPORE PTE. LTD.,770220
NEA000ETT15000099,National Environment Agency,PROVISION OF SERVICES TO CARRY OUT A SURVEY OF AIR-CONDITIONER USAGE PATTERNS OF SINGAPORE HOUSEHOLDS,2015-11-25,Awarded to Suppliers,INTRAIX PTE. LTD.,498000
NEA000ETT15000100,National Environment Agency,Supply and Installation of Flue Gas Flow Meters at Tuas Incineration Plant,2015-12-29,Awarded to Suppliers,SICK PTE. LTD.,214680
NEA000ETT15000101,National Environment Agency,TENDER FOR MANAGING AGENT SERVICE AND OFFICE MAINTENANCE SERVICES FOR SINGAPORE ENVIRONMENT INSTITUTE,2015-12-01,Awarded to Suppliers,RAMKY CLEANTECH SERVICES PTE. LTD.,238384
NEA000ETT15000103,National Environment Agency,The Maintenance Work At The Closed Tampines Dumping Ground,2015-11-03,Awarded to Suppliers,FELICITY ENGINEERING PTE LTD,353900
NEA000ETT15000106,National Environment Agency,Supply and Delivery of Air-Cooled Condenser Fan Gear Boxes to Tuas South Incineration Plant,2015-11-13,Awarded to Suppliers,MECHANTRONIC ENGINEERING PTE LTD,362880
NEA000ETT15000107,National Environment Agency,Supply and Maintenance of Refuse Disposal Management System (RDMS) at Tuas Incineration Plant and Tuas South Incineration Plant,2015-10-27,Awarded to Suppliers,ALC TECHNOLOGIES PTE LTD,431000
NEA000ETT15000111,National Environment Agency,Proposed Erection of a Five-Storey Commercial Development Comprising Hawker Centre/Supermarket/Shops and Multi-Storey Car Park on Lots 04109P-PT & 06187L-PT MK 13 at Woodlands Street 12,2015-12-28,Awarded to Suppliers,CONINT PTE. LTD.,26857000
NEA000ETT15000112,National Environment Agency,Tender for Supply and Delivery of Insect Repellent for Outreach Programme on Dengue Prevention,2015-10-30,Awarded to Suppliers,S.C. JOHNSON & SON PRIVATE LIM ITED,512000
NEA000ETT15000114,National Environment Agency,Provision of Services to Conduct a Survey to Characterise Energy Consumption in Singapore Households,2015-12-17,Awarded to Suppliers,CONSULTING GROUP - ASIA INSIGHT PTE. LTD.,537000
NEA000ETT15000115,National Environment Agency,Tender for The Provision of Market Research Services on Public Waste Collection Scheme,2015-11-16,Awarded to Suppliers,CONSULTING GROUP - ASIA INSIGHT PTE. LTD.,213300
NEA000ETT15000117,National Environment Agency,Comprehensive Maintenance for the Seismic System,2015-10-16,Awarded to Suppliers,SINGAPORE TECHNOLOGIES ELECTRONICS LIMITED,397260
NEA000ETT15000121,National Environment Agency,Provision of Services for Energy Performance Testing of Home Appliances,2015-12-09,Awarded to Suppliers,TUV SUD PSB PTE. LTD.,326350
NEA000ETT15000125,National Environment Agency,Appointment of external auditor for process audit,2015-11-13,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,108000
NHB000ETT14000015,National Heritage Board,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL VISITOR COUNTING SYSTEM (VCS) WITH AN OPTION FOR MAINTENANCE SERVICES",2015-01-12,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,486540
NHB000ETT14000029,National Heritage Board,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",2015-01-05,Awarded to Suppliers,DOMINIE PRESS PTE. LTD.,18891.28
NHB000ETT14000029,National Heritage Board,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",2015-01-05,Awarded to Suppliers,GEOFFREY ALLEN KAPLAN,18891.28
NHB000ETT14000029,National Heritage Board,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",2015-01-05,Awarded to Suppliers,H Fifty Five,18891.28
NHB000ETT14000029,National Heritage Board,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",2015-01-05,Awarded to Suppliers,INFINITY PRESS SDN. BHD.,18891.28
NHB000ETT14000029,National Heritage Board,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",2015-01-05,Awarded to Suppliers,SARAH AND SCHOOLING PTE. LTD.,18891.28
NHB000ETT14000031,National Heritage Board,INVITATION TO TENDER FOR TERM CONTRACT FOR SECURITY GUARD SERVICES TO THE NATIONAL HERITAGE BOARD FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO CONTINUE FOR ANOTHER ONE (1) YEAR,2015-01-30,Awarded to Suppliers,REACHFIELD SECURITY & SAFETY MANAGEMENT PTE. LTD.,3205200
NHB000ETT14000034,National Heritage Board,"The brand audit will take stock of existing branding and visitor communication efforts, internal and external perceptions of each museum, identify the different audiences and their needs or expectations of each museum.",2015-01-22,Awarded to Suppliers,ACTIVISTE PTE. LTD.,203000
NHB000ETT14000036,National Heritage Board,"The Preservation of Sites and Monuments (PSM) of the National Heritage Board (NHB) would like to invite Tenderers to quote for the provision of technical and design specifications, removal of existing markers, fabrication and installation of new markers, and maintenance of the markers for a period of 3 years, with an option to be extended by another 3 years based on service delivery standards.",2015-01-16,Awarded to Suppliers,FUJI SIGNCRAFTS INDUSTRIES PTE LTD,322665
NHB000ETT14000037,National Heritage Board,A RETAINER CONTRACT TO OFFER PUBLIC RELATIONS SERVICES TO THE NATIONAL MUSEUM OF SINGAPORE FOR A PERIOD OF ONE YEAR FROM JANUARY 2015 TO DECEMBER 2016.WITH AN OPTION TO EXTEND FOR ANOTHER 2 YEARS,2015-02-16,Awarded to Suppliers,OGILVY & MATHER (SINGAPORE) PRIVATE LIMITED,126000
NHB000ETT14000038,National Heritage Board,INVITATION TO TENDER FOR CREATIVE / DESIGN CONSULTANCY SERVICE FOR MUSEUM LABEL,2015-02-10,Awarded to Suppliers,DIA Brand Consultants Pte. Ltd.,159500
NHB000ETT14000039,National Heritage Board,"Invitation to Tender for the Supply, Delivery, Installation, Testing, Commissioning of a Fully Operational System (Heritage Resource Portal) with an option for maintenance.",2015-05-06,Awarded to Suppliers,ADELPHI DIGITAL CONSULTING GROUP PTE. LTD.,1296385
NHB000ETT14000040,National Heritage Board,INVITATION TO TENDER FOR PRIVATE CLOUD AND DATA CENTRE HOSTING WITH FACILITY MANAGEMENT SERVICES,2015-03-23,Awarded to Suppliers,1-NET SINGAPORE PTE LTD,1424657.04
NHB000ETT14000041,National Heritage Board,INVITATION TO TENDER FOR PROPOSED PILING AND DEMOLITION WORKS TO ASIAN CIVILISATIONS MUSEUM ON LOT 00277P TS10 AT 1 EMPRESS PLACE SINGAPORE 179555,2015-03-04,Awarded to Suppliers,ABV SYSTEMS PTE LTD,743360
NHB000ETT14000042,National Heritage Board,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL SYSTEM (MUSEUM COLLECTION SYSTEM UPGRADE).",2015-05-19,Awarded to Suppliers,IGINE PTE LTD,864158
NHB000ETT14000043,National Heritage Board,"The National Heritage Board (NHB) will be curating an exhibition featuring 50 signature Singaporean dishes tentatively titled Delicious Singapore. The exhibition will be launched at the 2nd World Street Food Congress in April 2015 at the Singapore Expo, before travelling to at least 5 public venues up to 31 December 2015.",2015-03-17,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd,162356
NHB000ETT14000044,National Heritage Board,INVITATION TO TENDER FOR THE PROVISION OF CURATORIAL AND RESEARCH SERVICES FOR SINGAPORE HERITAGEFEST 2015,2015-02-10,Awarded to Suppliers,ART LOGICA,94200
NHB000ETT14000045,National Heritage Board,"INVITATION TO TENDER FOR EXHIBITION DESIGN, FABRICATION AND INSTALLATION FOR SINGAPORE HERITAGEFEST 2015",2015-03-27,Awarded to Suppliers,Pico Art International Pte Ltd,299235
NHB000ETT15000001,National Heritage Board,ITT FOR PROVISION OF RESIDENT ENGINEER AND RESIDENT TECHNICAL OFFICER SERVICES FOR THE PROPOSED ADDITION & ALTERATION WORKS TO ASIAN CIVILISATIONS MUSEUM ON LOT 00277P TS10 AT 1 EMPRESS PLACE SINGAPORE 179555 (DOWNTOWN CORE PLANNING AREA),2015-03-11,Awarded to Suppliers,SMM PTE. LTD.,269200
NHB000ETT15000002,National Heritage Board,INVITATION TO TENDER FOR THE PROPOSED RENOVATION & FIT-OUT WORKS OF THE INDIAN HERITAGE CENTRE (IHC)'S OFF-SITE OFFICE AT LITTLE INDIA ARCADE BUILDING UNIT 02-01A 48 SERANGOON ROAD SINGAPORE 217,2015-03-25,Awarded to Suppliers,QXY RESOURCES PTE. LTD.,413600
NHB000ETT15000003,National Heritage Board,INVITATION TO TENDER FOR THE PROVISION OF CONTENT DEVELOPMENT AND MAINTENANCE SERVICES FOR THE 360 DEGREE HIGH DYNAMIC RANGE VIRTUAL REALITY EXHIBITIONS ONLINE (e-exhibition),2015-04-06,Awarded to No Suppliers,na,0
NHB000ETT15000004,National Heritage Board,REQUEST FOR PROPOSAL FOR MEDIA BUYING AND PLANNING SERVICES FOR SINGAPOUR EN FRANCE  LE FESTIVAL 2015,2015-03-04,Awarded to Suppliers,AGENDA,449181
NHB000ETT15000005,National Heritage Board,"INVITATION TO TENDER FOR SUPPLY, REPLACEMENT AND MAINTENANCE OF PA SYSTEM AT ASIAN CIVILISATIONS MUSEUM AND THE PERANAKAN MUSEUM UNDER THE NATIONAL HERITAGE BOARD",2015-03-04,Awarded to No Suppliers,na,0
NHB000ETT15000006,National Heritage Board,REQUEST FOR PROPOSAL FOR OVERALL EVENT MANAGEMENT & PROGRAMMING FOR FOUR FESTIVAL WEEKENDS OF SINGAPORE HERITAGEFEST,2015-04-24,Awarded to Suppliers,Pico Art International Pte Ltd,486995
NHB000ETT15000008,National Heritage Board,"INVITATION TO TENDER FOR PROVISION OF COMPREHENSIVE MAINTENANCE AND MANAGEMENT SERVICES OF SECURITY CCTV, CARD ACCESS AND INTRUSION ALARM SYSTEMS AT HERITAGE CONSERVATION CENTRE AN INSTITUTION UNDER THE NATIONAL HERITAGE BOARD FOR A PERIOD OF ONE (1) YEAR FROM 1 APR 15 TO 31 MAR 16 WITH AN OPTION TO EXTEND FOR A PERIOD OF UP TO ONE (1) YEAR",2015-03-30,Awarded to Suppliers,SECOM (SINGAPORE) PTE LTD,48816
NHB000ETT15000009,National Heritage Board,"INVITATION TO TENDER FOR THE DESIGN, DEVELOPMENT, TESTING, COMMISSIONING AND MAINTENANCE OF FULLY OPERATIONAL NHB HERITAGE TRAILS MOBILE APPS",2015-06-08,Awarded to Suppliers,NANO EQUIPMENT PTE. LTD.,50400
NHB000ETT15000010,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF AN EVENT MANAGEMENT AGENCY TO ORGANIZE AND PROJECT-MANAGE THE OPENING CEREMONY OF SUN YAT SEN NANYANG MEMORIAL HALLS SPECIAL EXHIBITION,2015-03-30,Awarded to Suppliers,I-PROMO PTE. LTD.,78900
NHB000ETT15000011,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERIVCE PROVIDERS FOR THE PROVISION OF PRINTING SERVICES FOR THE MALAY HERITAGE CENTRE FOR ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2015-06-04,Awarded to Suppliers,CHUNG PRINTING PTE. LTD.,2
NHB000ETT15000011,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERIVCE PROVIDERS FOR THE PROVISION OF PRINTING SERVICES FOR THE MALAY HERITAGE CENTRE FOR ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2015-06-04,Awarded to Suppliers,Oxford Graphic Printers Pte Ltd,2
NHB000ETT15000012,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERIVCE PROVIDERS FOR THE PROVISION OF PHOTOGRAPHY AND VIDEOGRAPHY SERVICES FOR THE MALAY HERITAGE CENTRE FOR ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2015-05-25,Awarded to Suppliers,DREAMBOX STUDIO PTE. LTD.,2
NHB000ETT15000012,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERIVCE PROVIDERS FOR THE PROVISION OF PHOTOGRAPHY AND VIDEOGRAPHY SERVICES FOR THE MALAY HERITAGE CENTRE FOR ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2015-05-25,Awarded to Suppliers,TECK PHOTO,2
NHB000ETT15000013,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE PROVISION OF GRAPHIC DESIGN SERVICES FOR THE MALAY HERITAGE CENTRE,2015-05-05,Awarded to Suppliers,CUBIC SPACE PRIVATE LIMITED,3
NHB000ETT15000013,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE PROVISION OF GRAPHIC DESIGN SERVICES FOR THE MALAY HERITAGE CENTRE,2015-05-05,Awarded to Suppliers,OXYGEN STUDIO DESIGNS PTE. LTD.,3
NHB000ETT15000013,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE PROVISION OF GRAPHIC DESIGN SERVICES FOR THE MALAY HERITAGE CENTRE,2015-05-05,Awarded to Suppliers,PENCIL GROUP PTE. LTD.,3
NHB000ETT15000015,National Heritage Board,"INVITATION TO TENDER FOR PROPOSED ADDITION & ALTERATION WORKS TO ASIAN CIVILISATIONS MUSEUM ON LOTS 00367APT, 00368APT AND 00373N PT TS10 AT NO.1 EMPRESS PLACE SINGAPORE 179555",2015-04-17,Awarded to Suppliers,SUNRAY WOODCRAFT CONSTRUCTION PTE LTD,16370506
NHB000ETT15000016,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF RECRUITMENT AGENCIES FOR THE PROVISION OF TEMPORARY PROJECT STAFF SERVICES FOR ONE YEAR WITH AN OPTION TO RENEW FOR 2 YEARS,2015-05-19,Awarded to Suppliers,BGC Group Pte. Ltd.,4.01
NHB000ETT15000016,National Heritage Board,INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF RECRUITMENT AGENCIES FOR THE PROVISION OF TEMPORARY PROJECT STAFF SERVICES FOR ONE YEAR WITH AN OPTION TO RENEW FOR 2 YEARS,2015-05-19,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd,4.01
